road_link_id,name,from_node_id,to_node_id,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,from_node,to_node,length,LinkType,Desc
184 102000,,184,102000,456,1,1800,25,1,,,,,HOT,,184,102000,459,6,HOT
185 100275,,185,100275,457,1,1800,25,1,,,,,HOT,,185,100275,281,6,HOT
185 100291,,185,100291,458,1,1800,25,1,,,,,HOT,,185,100291,402,6,HOT
185 100292,,185,100292,459,1,1800,25,1,,,,,HOT,,185,100292,428,6,HOT
185 100295,,185,100295,460,1,1800,25,1,,,,,HOT,,185,100295,227,6,HOT
186 100293,,186,100293,461,1,1800,25,1,,,,,HOT,,186,100293,442,6,HOT
186 100294,,186,100294,462,1,1800,25,1,,,,,HOT,,186,100294,369,6,HOT
186 100295,,186,100295,463,1,1800,25,1,,,,,HOT,,186,100295,242,6,HOT
186 100296,,186,100296,464,1,1800,25,1,,,,,HOT,,186,100296,233,6,HOT
187 100011,,187,100011,465,1,1800,25,1,,,,,HOT,,187,100011,246,6,HOT
187 100283,,187,100283,466,1,1800,25,1,,,,,HOT,,187,100283,224,6,HOT
187 100289,,187,100289,467,1,1800,25,1,,,,,HOT,,187,100289,236,6,HOT
187 100290,,187,100290,468,1,1800,25,1,,,,,HOT,,187,100290,198,6,HOT
100000 100283,North,100000,100283,978,1,1497,27,1,,,,,Highway,,100000,100283,221,7,Highway
100000 100289,West,100000,100289,979,1,1800,31,2,,,,,Highway,,100000,100289,209,7,Highway
100010 100011,High,100010,100011,994,1,1800,28,2,,,,,Arterial,,100010,100011,211,5,Arterial
